param_Ne	param_log_time_split_AfrEur	param_log_time_admixture	param_log_time_Afr_ex	param_log_severity	param_Ne_Afr_anc	param_Ne_Eur	param_log_Ne_Eur_bn	param_Ne_Ame	param_log_Ne_Ame_bn	param_proportion_admixture
1.71952e+07	5.46824	3.66256	6.62106	1.85846	1.55368e+07	9.33778e+06	4.46464	8.52978e+06	4.65364	0.537899
6.26311e+06	5.6137	2.79569	6.58972	0.516139	1.3776e+07	9.46772e+06	4.76167	3.55916e+06	2.70545	0.910047
1.0384e+07	4.52807	2.4542	6.71814	1.30058	6.97682e+06	2.74907e+06	4.05323	1.82837e+07	3.2535	0.903004
1.85017e+07	5.88926	2.3204	5.96833	-1.1619	2.37916e+06	3.43365e+06	4.44202	6.16701e+06	2.14433	0.768947
7.14493e+06	4.15038	3.13081	6.84689	1.29133	6.77574e+06	7.82527e+06	2.90659	1.96124e+07	3.24989	0.84567
6.83273e+06	4.55847	3.00075	6.59347	-0.082149	3.16926e+06	5.96056e+06	3.65792	333631	2.09265	0.433433
1.18436e+07	4.00647	3.5321	6.53687	1.56915	1.09866e+07	848893	3.60698	7.35804e+06	3.08277	0.495863
4.14356e+06	4.24504	3.35451	6.87232	1.28709	4.72351e+06	8.32619e+06	3.1259	710575	4.2024	0.878867
1.15211e+07	5.23191	2.16659	6.54281	0.589258	9.93484e+06	6.47735e+06	4.2344	4.77303e+06	4.58789	0.808299
4.50982e+06	4.66662	3.74308	6.31053	-1.98155	2.02319e+06	6.79256e+06	3.8724	2.55003e+07	2.9585	0.204754
8.2893e+06	5.41428	3.73366	6.4214	-0.167218	1.45235e+06	702511	4.83563	2.7828e+07	3.72334	0.925184
1.39593e+07	5.00986	3.06475	6.47528	0.505901	4.51999e+06	1.51371e+06	4.74575	5.19152e+06	2.76784	0.925811
1.78904e+07	5.02491	3.65521	6.44467	0.709118	1.90942e+07	5.78813e+06	4.63189	3.39234e+06	4.8576	0.577353
6.97705e+06	5.70531	2.82482	6.35144	0.334351	1.10176e+07	7.05476e+06	4.45096	1.23434e+07	4.02766	0.839063
5.32156e+06	5.78972	2.4892	6.5276	-1.15673	1.08949e+06	9.14946e+06	4.68656	2.69803e+07	2.99232	0.735729
2.36831e+06	5.87885	2.49321	6.75219	-0.166707	8.91798e+06	3.58653e+06	4.95231	2.80414e+07	2.44094	0.787091
9.25333e+06	4.75527	3.21484	6.74966	1.23947	72673.7	400131	4.36196	2.61025e+07	4.01564	0.781406
1.71952e+07	5.46824	3.66256	6.62106	1.85846	1.55368e+07	9.33778e+06	4.46464	8.52978e+06	4.65364	0.537899
9.96247e+06	4.07214	2.64658	6.55351	1.61823	1.02717e+07	2.57281e+06	3.13488	6.99752e+06	2.06372	0.6344
1.00725e+07	4.6023	3.35766	6.57206	1.73024	1.92354e+07	454438	4.51195	4.37235e+06	2.92614	0.101067
1.37668e+07	4.43421	3.48732	6.46178	0.574913	5.87545e+06	3.56028e+06	3.55745	777363	2.77437	0.714932
1.39893e+07	4.27755	2.70789	6.66293	1.10929	9.86704e+06	2.5764e+06	3.73139	2.13533e+07	3.02112	0.925669
1.33375e+07	5.47549	2.83049	6.52263	0.952259	1.98773e+07	9.98959e+06	4.32831	3.94134e+06	4.0134	0.507191
8.10675e+06	5.43372	3.52659	6.71315	1.53059	9.17764e+06	2.10137e+06	4.8314	1.27134e+06	2.75736	0.117645
7.64703e+06	5.29062	2.1116	6.57011	0.180051	3.3646e+06	4.00839e+06	4.13835	1.89537e+07	2.61589	0.885569
1.22486e+07	5.33701	3.10923	6.09106	-1.91619	1.75751e+06	6.24429e+06	4.19879	1.42652e+06	2.89524	0.313645
